mcp_servername,language,integration_type,star_count,violated_rule,violated_rule_name,issue_type,issue_severity,component,fix_guideline,issue_tags,quality_impact
run-llama/llama_index,Python,mined,40204,python:S5632,Raised Exceptions must derive from BaseException,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/readers/llama-index-readers-lilac/llama_index/readers/lilac/base.py,Change this code so that it raises an object deriving from BaseException.,"error-handling, python3",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/tools/llama-index-tools-google/llama_index/tools/google/gmail/base.py,Add 1 missing arguments; 'search_messages' expects at least 1 positional arguments.,cwe,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,run-llama.llama_index:llama-index-integrations/vector_stores/llama-index-vector-stores-postgres/tests/test_postgres.py,Don’t perform an assertion here; An exception is expected to be raised before its execution.,"tests, unused, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/vector_stores/llama-index-vector-stores-rocksetdb/llama_index/vector_stores/rocksetdb/base.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S2189,Loops should not be infinite,BUG,BLOCKER,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,'e' is not modified in this loop.,,RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S2189,Loops should not be infinite,BUG,BLOCKER,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,'a' is not modified in this loop.,,RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/2023_Science_Wikipedia_KnowledgeGraph.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
cline/cline,TypeScript,mined,35737,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,cline.cline:webview-ui/src/components/mcp/marketplace/McpMarketplaceView.tsx,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
SciPhi-AI/R2R,Python,mined,5708,python:S1143,"Break, continue and return statements should not occur in ""finally"" blocks",BUG,CRITICAL,SciPhi-AI.R2R:py/tests/integration/test_ingestion.py,"Remove this ""return"" statement from this ""finally"" block.","cwe, error-handling, pitfall",RELIABILITY
SciPhi-AI/R2R,Python,mined,5708,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,SciPhi-AI.R2R:py/core/base/agent/agent.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
SciPhi-AI/R2R,Python,mined,5708,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,SciPhi-AI.R2R:py/core/base/providers/base.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
SciPhi-AI/R2R,Python,mined,5708,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,SciPhi-AI.R2R:py/core/base/providers/base.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
SciPhi-AI/R2R,Python,mined,5708,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,SciPhi-AI.R2R:py/core/base/agent/agent.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
SciPhi-AI/R2R,Python,mined,5708,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,SciPhi-AI.R2R:py/core/base/providers/base.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
SciPhi-AI/R2R,Python,mined,5708,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,SciPhi-AI.R2R:py/core/base/providers/base.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
i-am-bee/beeai-framework,TypeScript,mined,2093,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,i-am-bee.beeai-framework:typescript/tests/e2e/utils.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
msoedov/agentic_security,Python,mined,1171,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,msoedov.agentic_security:agentic_security/probe_data/modules/test_fine_tuned.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
msoedov/agentic_security,Python,mined,1171,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,msoedov.agentic_security:tests/probe_actor/test_fuzzer.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
msoedov/agentic_security,Python,mined,1171,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,msoedov.agentic_security:tests/probe_actor/test_fuzzer.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
presidio-oss/cline-based-code-generator,TypeScript,mined,30,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,presidio-oss.cline-based-code-generator:webview-ui/src/components/mcp/marketplace/McpMarketplaceView.tsx,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
pixeltable/pixeltable,Python,mined,164,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,pixeltable.pixeltable:pixeltable/dataframe.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
pixeltable/pixeltable,Python,mined,164,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,pixeltable.pixeltable:pixeltable/io/external_store.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
pixeltable/pixeltable,Python,mined,164,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,pixeltable.pixeltable:pixeltable/io/external_store.py,Add 1 missing arguments; 'items' expects 1 positional arguments.,cwe,RELIABILITY
langflow-ai/langflow,Python,mined,52334,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,langflow-ai.langflow:src/frontend/src/utils/reactflowUtils.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
langflow-ai/langflow,Python,mined,52334,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,langflow-ai.langflow:src/backend/base/langflow/components/processing/__init__.py,"Change or remove this string; ""ParseDataFrameComponent"" is not defined.",design,RELIABILITY
langflow-ai/langflow,Python,mined,52334,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,langflow-ai.langflow:src/backend/base/langflow/components/helpers/__init__.py,"Change or remove this string; ""BatchRunComponent"" is not defined.",design,RELIABILITY
langflow-ai/langflow,Python,mined,52334,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,langflow-ai.langflow:src/backend/base/langflow/components/deactivated/__init__.py,"Change or remove this string; ""ListenComponent"" is not defined.",design,RELIABILITY
langflow-ai/langflow,Python,mined,52334,css:S4657,Shorthand properties that override related longhand properties should be avoided,BUG,CRITICAL,langflow-ai.langflow:src/frontend/src/style/classes.css,"Unexpected shorthand ""outline"" after ""outline-color""",,RELIABILITY
langflow-ai/langflow,Python,mined,52334,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,langflow-ai.langflow:src/backend/base/langflow/components/deactivated/__init__.py,"Change or remove this string; ""FlowToolComponent"" is not defined.",design,RELIABILITY
langflow-ai/langflow,Python,mined,52334,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,langflow-ai.langflow:src/backend/base/langflow/components/deactivated/__init__.py,"Change or remove this string; ""NotifyComponent"" is not defined.",design,RELIABILITY
langflow-ai/langflow,Python,mined,52334,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,langflow-ai.langflow:src/backend/base/langflow/components/deactivated/__init__.py,"Change or remove this string; ""PythonFunctionComponent"" is not defined.",design,RELIABILITY
langflow-ai/langflow,Python,mined,52334,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,langflow-ai.langflow:src/backend/base/langflow/components/deactivated/__init__.py,"Change or remove this string; ""RunFlowComponent"" is not defined.",design,RELIABILITY
langflow-ai/langflow,Python,mined,52334,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,langflow-ai.langflow:src/backend/base/langflow/components/deactivated/__init__.py,"Change or remove this string; ""SQLExecutorComponent"" is not defined.",design,RELIABILITY
langflow-ai/langflow,Python,mined,52334,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,langflow-ai.langflow:src/frontend/src/utils/reactflowUtils.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
johnneerdael/multiplatform-cursor-mcp,TypeScript,mined,46,python:S5644,Item operations should be done on objects supporting them,BUG,BLOCKER,johnneerdael.multiplatform-cursor-mcp:node_modules/node-gyp/gyp/pylib/gyp/generator/android.py,"Fix this code; ""outputs"" does not have a ""__getitem__"" method.","python3, typing",RELIABILITY
johnneerdael/multiplatform-cursor-mcp,TypeScript,mined,46,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,johnneerdael.multiplatform-cursor-mcp:node_modules/node-gyp/gyp/pylib/gyp/generator/msvs.py,Add 1 missing arguments; '_GetConfigurationCondition' expects 3 positional arguments.,cwe,RELIABILITY
npi-ai/npi,Python,mined,211,python:S2823,"Only strings should be listed in ""__all__""",BUG,BLOCKER,npi-ai.npi:npiai/error/__init__.py,"Replace this symbol with a string; ""__all__"" can only contain strings.",python3,RELIABILITY
npi-ai/npi,Python,mined,211,python:S1143,"Break, continue and return statements should not occur in ""finally"" blocks",BUG,CRITICAL,npi-ai.npi:npiai/tools/web/twitter/app.py,"Remove this ""break"" statement from this ""finally"" block.","cwe, error-handling, pitfall",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/cli/mcp.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/cli/codegen_templates/dataModel.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/cli/lib/mcp/tools/tables.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/cli/lib/data.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/cli/lib/data.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/server/router.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/server/router.ts,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/server/router.ts,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
get-convex/convex-js,TypeScript,mined,143,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,get-convex.convex-js:src/server/router.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
seanchatmangpt/dslmodel,Python,mined,23,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,seanchatmangpt.dslmodel:src/dslmodel/workflow/workflow_models.py,Add 1 missing arguments; 'schedule_workflow' expects 2 positional arguments.,cwe,RELIABILITY
kagent-dev/kagent,Python,mined,260,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,kagent-dev.kagent:ui/src/app/tools/page.tsx,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
Mirascope/mirascope,Python,mined,1031,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,Mirascope.mirascope:mirascope/beta/rag/__init__.py,"Change or remove this string; ""TextChunker"" is not defined.",design,RELIABILITY
Mirascope/mirascope,Python,mined,1031,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,Mirascope.mirascope:tests/core/bedrock/_utils/test_handle_stream.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
Mirascope/mirascope,Python,mined,1031,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,Mirascope.mirascope:tests/core/bedrock/_utils/test_handle_stream.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
Mirascope/mirascope,Python,mined,1031,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,Mirascope.mirascope:tests/core/bedrock/_utils/test_handle_stream.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
polarsource/polar-js,TypeScript,mined,78,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,polarsource.polar-js:src/hooks/types.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
polarsource/polar-js,TypeScript,mined,78,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,polarsource.polar-js:src/hooks/types.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
polarsource/polar-js,TypeScript,mined,78,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,polarsource.polar-js:src/hooks/types.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
polarsource/polar-js,TypeScript,mined,78,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,polarsource.polar-js:src/hooks/types.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
polarsource/polar-js,TypeScript,mined,78,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,polarsource.polar-js:src/types/enums.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
dubinc/dub-ts,TypeScript,mined,51,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,dubinc.dub-ts:src/types/enums.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
dubinc/dub-ts,TypeScript,mined,51,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,dubinc.dub-ts:src/hooks/types.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
dubinc/dub-ts,TypeScript,mined,51,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,dubinc.dub-ts:src/hooks/types.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
dubinc/dub-ts,TypeScript,mined,51,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,dubinc.dub-ts:src/hooks/types.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
dubinc/dub-ts,TypeScript,mined,51,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,dubinc.dub-ts:src/hooks/types.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
bytedance/UI-TARS-desktop,TypeScript,mined,3344,css:S4654,CSS properties should be valid,BUG,BLOCKER,bytedance.UI-TARS-desktop:apps/ui-tars/src/renderer/src/components/LoadingText/index.scss,"Unexpected unknown property ""text-fill-color""",,RELIABILITY
bytedance/UI-TARS-desktop,TypeScript,mined,3344,css:S4657,Shorthand properties that override related longhand properties should be avoided,BUG,CRITICAL,bytedance.UI-TARS-desktop:apps/ui-tars/src/renderer/src/components/LoadingText/index.scss,"Unexpected shorthand ""background"" after ""background-position""",,RELIABILITY
bytedance/UI-TARS-desktop,TypeScript,mined,3344,css:S4657,Shorthand properties that override related longhand properties should be avoided,BUG,CRITICAL,bytedance.UI-TARS-desktop:apps/ui-tars/src/renderer/src/components/LoadingText/index.scss,"Unexpected shorthand ""background"" after ""background-position""",,RELIABILITY
bytedance/UI-TARS-desktop,TypeScript,mined,3344,css:S4657,Shorthand properties that override related longhand properties should be avoided,BUG,CRITICAL,bytedance.UI-TARS-desktop:packages/ui-tars/visualizer/src/component/detail-side.less,"Unexpected shorthand ""margin"" after ""margin-top""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""server""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""tool""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""args""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""server""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""tool""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""args""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""result""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""error""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""result""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,css:S4670,Selectors should be known,BUG,CRITICAL,emqx.MQTTX:src/components/ai/MessageRender.vue,"Unexpected unknown type selector ""error""",,RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,emqx.MQTTX:src/types/copilot.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
emqx/MQTTX,TypeScript,mined,4179,typescript:S4275,Getters and setters should access the expected fields,BUG,CRITICAL,emqx.MQTTX:src/views/script/index.vue,Refactor this getter to always return a value.,pitfall,RELIABILITY
yamadashy/repomix,TypeScript,mined,13474,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,yamadashy.repomix:tests/core/file/fileSearch.test.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
yamadashy/repomix,TypeScript,mined,13474,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,yamadashy.repomix:tests/core/file/fileSearch.test.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
wonderwhy-er/ClaudeDesktopCommander,TypeScript,mined,195,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,wonderwhy-er.ClaudeDesktopCommander:src/command-manager.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,hashintel.hash:apps/hash-frontend/src/pages/@/[shortname]/shared/flow-visualizer/outputs.tsx,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,hashintel.hash:libs/@blockprotocol/graph/src/stdlib/subgraph/element/entity.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/canvas.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/claim.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/claim.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/commentnotification.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/commentnotification.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/commentnotification.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/document.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/docxdocument.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/facebookaccount.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/githubaccount.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
hashintel/hash,TypeScript,mined,1151,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,hashintel.hash:libs/@local/hash-isomorphic-utils/src/system-types/google/googlesheetsfile.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
